time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2019-06-24,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-06-25,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-06-26,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-06-27,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-06-28,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-01,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-02,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-03,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-04,4.7,4.7,4.7,4.7,1,4.7,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-05,4.7,4.7,4.7,4.7,4,18.8,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-08,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-09,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-10,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-11,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-12,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-15,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-16,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-17,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-18,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-19,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-22,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-23,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-24,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-25,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-26,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-29,4.7,4.7,4.7,4.7,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-07-30,5.1,5.1,5.1,5.1,6000,30600.0,4000.0,0.0,20000.0,0.0,,0.39,0.02,0.0
2019-07-31,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-01,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-02,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-05,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-07,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-08,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-09,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-12,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-14,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-15,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-16,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-19,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-21,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-22,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-23,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-26,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-27,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-28,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-29,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-08-30,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-03,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-04,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-05,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-09,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-10,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-11,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-12,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-16,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-17,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-18,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-19,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-23,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-24,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-25,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-26,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-27,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-09-30,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-01,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-02,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-03,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-04,5.1,5.1,5.1,5.1,2,10.2,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-07,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-08,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-09,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-10,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-11,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-14,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-15,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-16,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-17,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-18,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-21,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-22,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-23,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-24,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-25,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-28,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-29,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-30,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-10-31,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-01,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-04,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-05,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-07,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-08,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-11,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-12,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-14,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-15,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-18,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-19,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-21,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-22,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-25,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-26,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-27,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-28,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-11-29,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-02,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-03,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-04,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-05,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-09,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-10,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-11,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-12,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-16,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-17,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-18,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-19,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-23,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-24,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-25,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-26,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-27,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-30,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2019-12-31,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-02,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-03,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-07,5.1,5.1,5.1,5.1,22,112.2,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-08,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-09,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-10,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-14,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-15,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-16,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-17,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-21,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-22,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-30,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-01-31,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-03,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-04,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-05,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-07,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-10,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-11,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-12,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-14,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-17,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-18,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-19,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-21,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-24,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-25,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-26,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-27,5.1,5.1,5.1,5.1,9,45.9,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-02-28,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-02,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-03,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-04,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-05,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-09,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-10,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-11,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-12,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-16,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-17,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-18,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-19,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-23,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-24,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-25,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-26,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-27,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-30,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-03-31,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-01,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-03,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-07,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-08,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-09,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-10,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-14,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-15,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-16,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-17,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-21,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-22,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-23,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-24,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-27,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-28,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-04-29,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-04,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-05,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-06,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-07,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-08,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-11,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-12,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-13,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-14,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-15,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-18,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-19,5.1,5.1,5.1,5.1,10,51.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-20,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-21,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-22,5.1,5.1,5.1,5.1,20,102.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-25,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-26,5.1,5.1,5.1,5.1,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-27,4.6,4.6,4.6,4.6,300,1380.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-28,4.6,4.6,4.6,4.6,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-05-29,4.6,4.6,4.6,4.6,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-06-01,4.6,4.6,4.6,4.6,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-06-02,4.6,4.6,4.6,4.6,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-06-03,4.6,4.6,4.6,4.6,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
2020-06-04,4.6,4.6,4.6,4.6,0,0.0,0.0,0.0,0.0,0.0,,0.39,0.0,0.0
